id,blok,temat,zdanie,zrodlo,wydanie,pewnosc,zgadzam_sie,poprawka
"hiv-0064","prep-pl","gdzie","PrEP w Polsce można uzyskać w poradniach zakaźnych i wenerologicznych oraz w prywatnych klinikach w dużych miastach. Lista poradni jest na stronie Krajowego Centrum do spraw AIDS.","Krajowe Centrum ds. AIDS","2026","OFFICIAL","",""
"hiv-0065","prep-pl","refundacja","Temat refundacji PrEP był na agendzie Parlamentarnego Zespołu do spraw HIV/AIDS w styczniu 2026 roku, ale świadczenie wciąż nie jest gwarantowane.","Rynek Zdrowia (prasa branżowa)","2025-2026","VERIFIED","",""
"hiv-0098","leczenie-pl","bezpłatność","W Polsce leczenie antyretrowirusowe jest bezpłatne dla każdej osoby z HIV, niezależnie od obywatelstwa i ubezpieczenia.","Ministerstwo Zdrowia","2022-2026","OFFICIAL","",""
"hiv-0099","leczenie-pl","program","Leczenie antyretrowirusowe finansuje Rządowy Program Polityki Zdrowotnej na lata 2022–2026.","Ministerstwo Zdrowia","2022-2026","OFFICIAL","",""
"hiv-0100","leczenie-pl","cudzoziemcy","Obywatele Ukrainy z HIV mogą kontynuować leczenie antyretrowirusowe w Polsce. Szerszy dostęp do świadczeń NFZ zmienił się po wygaszeniu specustawy w marcu 2026 roku.","Narodowy Fundusz Zdrowia","2026","OFFICIAL","",""
"hiv-0027","uu","czym jest U=U","U=U znaczy: niewykrywalny równa się niezakaźny. Osoba z niewykrywalną wiremią nie przenosi HIV drogą seksualną.","Centers for Disease Control and Prevention (US)","2025","OFFICIAL","",""
"hiv-0028","uu","podstawa dowodowa","U=U potwierdziły cztery duże badania: HPTN 052, PARTNER, PARTNER2 i Opposites Attract.","HIV i-Base","2025","VERIFIED","",""
"hiv-0029","uu","podstawa dowodowa","W badaniach nie odnotowano ani jednej transmisji seksualnej przy utrzymanej niewykrywalnej wiremii — łącznie w około 126 tysiącach aktów bez prezerwatywy.","NAM Publications","2025","VERIFIED","",""
"hiv-0030","uu","kto to potwierdza","U=U poparły między innymi WHO, UNAIDS i CDC oraz ponad tysiąc organizacji ze 105 krajów.","Prevention Access Campaign","2025","VERIFIED","",""
"hiv-0031","uu","warunek","Żeby U=U działało, wiremia musi być niewykrywalna trwale — zwykle rozumie się to jako poniżej 200 kopii na mililitr.","NYSDOH AIDS Institute Clinical Guidelines Program","2025","OFFICIAL","",""
"hiv-0032","uu","blipy","Krótkie „blipy"", czyli chwilowe niskie wyniki wykrywalne, nie znosiły ochrony w badaniach.","NYSDOH AIDS Institute Clinical Guidelines Program","2025","OFFICIAL","",""
"hiv-0033","uu","granice U=U","U=U udowodniono dla kontaktów seksualnych. To nie jest to samo co karmienie piersią czy wspólne igły.","NYSDOH AIDS Institute Clinical Guidelines Program","2025","OFFICIAL","",""
"hiv-0034","uu","granice U=U","Przy karmieniu piersią na skutecznym leczeniu ryzyko zakażenia dziecka jest mniejsze niż 1 procent, ale nie zerowe.","NIH / DHHS (US)","2024","OFFICIAL","",""
"hiv-0035","uu","granice U=U","Nie udowodniono, że osoba z niewykrywalną wiremią nie przenosi HIV przez wspólne igły.","NYSDOH AIDS Institute Clinical Guidelines Program","2025","OFFICIAL","",""
"hiv-0212","bezpieczenstwo","profilaktyka PCP","Przy CD4 poniżej 200 lekarz zwykle dokłada lek osłonowy przeciw zapaleniu płuc wywołanemu przez Pneumocystis. Odstawia się go po utrzymaniu CD4 powyżej 200 przez około trzy miesiące — decyzję podejmuje lekarz prowadzący.","European AIDS Clinical Society","13.0 (2025)","OFFICIAL","",""
"hiv-0213","bezpieczenstwo","profilaktyka toksoplazmozy","Przy CD4 poniżej 100 i dodatnim wyniku przeciwciał stosuje się profilaktykę toksoplazmozy. Odstawia się ją po odbudowie powyżej 200.","European AIDS Clinical Society","13.0 (2025)","OFFICIAL","",""
"hiv-0214","bezpieczenstwo","MAC","Prątki atypowe stanowią ryzyko przy CD4 poniżej 50. Przy skutecznym leczeniu antyretrowirusowym osobna profilaktyka zwykle nie jest już potrzebna.","DHHS","2025","OFFICIAL","",""
"hiv-0215","bezpieczenstwo","pogorszenie po starcie leczenia","W pierwszych tygodniach leczenia może pojawić się gorączka, powiększone węzły lub nasilenie objawów istniejącego zakażenia. To zespół rekonstytucji immunologicznej i zwykle oznacza, że układ odpornościowy zaczyna działać, a nie że lek zawodzi. Objaw trzeba zgłosić lekarzowi, ale nie odstawiać leków samodzielnie.","European AIDS Clinical Society","13.0 (2025)","OFFICIAL","",""
"hiv-0216","bezpieczenstwo","szczepionki żywe","Przy CD4 poniżej 200 szczepionki żywe są przeciwwskazane — dotyczy to odry, świnki i różyczki, ospy wietrznej, żółtej gorączki oraz doustnej szczepionki przeciw durowi brzusznemu.","European AIDS Clinical Society","13.0 (2025)","OFFICIAL","",""
"hiv-0217","bezpieczenstwo","szczepionki zalecane","Szczepionki nieżywe są bezpieczne i zalecane: WZW typu A i B, HPV, grypa, pneumokoki, COVID-19, a według wskazań także półpasiec w wersji rekombinowanej. Przy niskim CD4 odpowiedź bywa słabsza, więc część szczepień lekarz przesuwa na czas po odbudowie.","European AIDS Clinical Society","13.0 (2025)","OFFICIAL","",""
"hiv-0218","bezpieczenstwo","codzienne środki ostrożności","Przy niskim CD4 sens mają: mycie rąk, rękawiczki przy sprzątaniu po zwierzęciu, dobrze wysmażone mięso i jajka, mycie warzyw oraz konsultacja przed dalszą podróżą. Oddawanie zwierzęcia nie jest zalecane — liczy się higiena, nie pozbycie się psa czy kota.","NAM","","COMMUNITY","",""
"hiv-0088","prawo","art. 161 KK","Artykuł 161 Kodeksu karnego karze umyślne bezpośrednie narażenie innej osoby na zakażenie HIV — od trzech miesięcy do pięciu lat pozbawienia wolności.","Ustawodawca RP","stan na 2026-07","OFFICIAL","",""
"hiv-0089","prawo","art. 161 KK","Przy narażeniu wielu osób kara wynosi od roku do dziesięciu lat.","Ustawodawca RP","stan na 2026-07","OFFICIAL","",""
"hiv-0090","prawo","art. 161 KK","Ściganie z artykułu 161 następuje na wniosek pokrzywdzonego.","Ustawodawca RP","stan na 2026-07","OFFICIAL","",""
"hiv-0091","prawo","nowelizacja","W 2024 roku Ministerstwo Zdrowia zaproponowało złagodzenie artykułu 161 i usunięcie wyodrębnienia HIV jako stygmatyzującego. Zmiana nie została uchwalona.","Termedia (prasa branżowa)","2024","COMMUNITY","",""
"hiv-0092","prawo","kryminalizacja","UNAIDS krytykuje kryminalizację narażenia na HIV.","UNAIDS","2025","OFFICIAL","",""
"hiv-0093","prawo","dane osobowe","Dane o statusie HIV to dane o zdrowiu — szczególna kategoria chroniona przez RODO.","Parlament Europejski i Rada UE","2016/679","OFFICIAL","",""
"hiv-0094","prawo","tajemnica lekarska","Status HIV jest objęty tajemnicą lekarską.","Polskie Towarzystwo Naukowe AIDS","2025","OFFICIAL","",""
"hiv-0095","prawo","praca","Pracodawca co do zasady nie może wymagać testu na HIV ani pytać o status.","International Labour Organization","2001/2010","VERIFIED","",""
"hiv-0096","prawo","praca","Badania medycyny pracy nie obejmują rutynowo testu na HIV.","Ustawodawca RP","stan na 2026-07","OFFICIAL","",""
"hiv-0097","prawo","dyskryminacja","Osobę żyjącą z HIV chroni zakaz dyskryminacji w zatrudnieniu.","Ustawodawca RP","stan na 2026-07","OFFICIAL","",""
"hiv-0075","testowanie","rodzaje testów","Test czwartej generacji wykrywa antygen p24, zwykle po około dwóch tygodniach, oraz przeciwciała, po czterech do dwunastu tygodni.","Polskie Towarzystwo Naukowe AIDS","2025","OFFICIAL","",""
"hiv-0076","testowanie","rodzaje testów","Są testy z krwi, ze śliny, testy szybkie i testy do samodzielnego wykonania w domu.","Polskie Towarzystwo Naukowe AIDS","2025","OFFICIAL","",""
"hiv-0077","testowanie","test molekularny","Test molekularny wykrywa wirusa najwcześniej, bo szuka jego materiału genetycznego, a nie reakcji organizmu.","Polskie Towarzystwo Naukowe AIDS","2025","OFFICIAL","",""
"hiv-0078","testowanie","potwierdzenie wyniku","Dodatni wynik testu przesiewowego zawsze wymaga potwierdzenia testem weryfikującym.","Polskie Towarzystwo Naukowe AIDS","2025","OFFICIAL","",""
"hiv-0079","testowanie","PKD","W punkcie konsultacyjno-diagnostycznym test HIV jest bezpłatny, anonimowy i bez skierowania.","Krajowe Centrum ds. AIDS","2026","OFFICIAL","",""
"hiv-0080","testowanie","PKD","Wynik z punktu konsultacyjno-diagnostycznego odbiera się osobiście, na hasło. Nie podaje się go przez telefon.","Krajowe Centrum ds. AIDS","2026","OFFICIAL","",""
"hiv-0081","testowanie","PKD","W każdym województwie działa co najmniej jeden punkt konsultacyjno-diagnostyczny. Aktualna lista jest na stronie Krajowego Centrum do spraw AIDS.","Krajowe Centrum ds. AIDS","2026","OFFICIAL","",""
"hiv-0082","testowanie","PKD","W punkcie konsultacyjno-diagnostycznym nie wystawia się recept ani nie prowadzi leczenia. To miejsce testowania i rozmowy.","Krajowe Centrum ds. AIDS","2026","OFFICIAL","",""
"hiv-0201","odbudowa","dwie fazy odbudowy","Po włączeniu leczenia liczba CD4 rośnie najszybciej przez pierwsze pół roku, potem coraz wolniej. W dużych kohortach pierwsza faza to rząd 265 komórek na rok, uśrednienie przez pierwsze dwa lata daje około 100, a po sześciu latach już tylko kilka.","OFID","2026","VERIFIED","",""
"hiv-0202","odbudowa","start z niskiego poziomu","Start z bardzo niskiego CD4 nie zamyka drogi do odbudowy. W badaniach osoby zaczynające poniżej 50 komórek miały w drugiej fazie tempo równe lub szybsze niż zaczynające wyżej — po prostu dłużej pozostawały poniżej progu 200.","NIH PMC","","VERIFIED","",""
"hiv-0203","odbudowa","jak długo trwa","Odbudowa liczy się w latach, nie w miesiącach. W jednej z kohort CD4 rosło średnio przez sześć i pół roku, zanim wyszło na płaskowyż. Punkt startu wpływa na to, gdzie ten płaskowyż wypadnie, ale nie na to, czy wzrost w ogóle nastąpi.","OFID","2026","VERIFIED","",""
"hiv-0204","odbudowa","brak odpowiedzi immunologicznej","U części osób z niewykrywalną wiremią CD4 mimo to nie rośnie. Zależnie od przyjętej definicji dotyczy to od kilkunastu do kilkudziesięciu procent leczonych. Najsilniejszym czynnikiem ryzyka jest niski nadir, drugim wiek w chwili rozpoczęcia leczenia.","Frontiers","2022","VERIFIED","",""
"hiv-0205","odbudowa","czego nie robi się przy słabej odbudowie","Przy niewykrywalnej wiremii i słabo rosnącym CD4 nie dokłada się kolejnych leków ani nie zmienia schematu wyłącznie po to, by podnieść limfocyty — wytyczne odradzają to wprost. Interleukina-2 podnosi CD4, ale w dużych badaniach nie zmniejszyła ryzyka zachorowania ani zgonu.","DHHS","2025","OFFICIAL","",""
"hiv-0206","odbudowa","wskaźnik CD4/CD8","Stosunek CD4 do CD8 bywa lepszym wskaźnikiem przewlekłego stanu zapalnego niż samo CD4. Bywa niski nawet wtedy, gdy CD4 wróciło powyżej 500, i wiąże się z ryzykiem chorób niezwiązanych z AIDS.","JAC","","VERIFIED","",""
"hiv-0207","odbudowa","czego nie zmienisz","Na tempo odbudowy wpływają rzeczy przesądzone przed diagnozą: wiek w chwili rozpoczęcia leczenia, najniższy poziom CD4 w historii, czas od zakażenia do leczenia oraz funkcja grasicy. Wolniejsza odbudowa nie jest niczyją winą.","DHHS","2025","OFFICIAL","",""
"hiv-0208","odbudowa","co jest po Twojej stronie","Jedyną rzeczą o udowodnionym wpływie na odbudowę jest regularne przyjmowanie leków i utrzymanie niewykrywalnej wiremii. Poza tym liczy się leczenie koinfekcji, szczepienia we właściwym momencie, niepalenie i leczenie depresji — to ostatnie głównie dlatego, że ułatwia regularność.","DHHS","2025","OFFICIAL","",""
"hiv-0209","odbudowa","ruch a CD4","Przeglądy systematyczne pokazują, że regularny wysiłek u osób z HIV poprawia wydolność, siłę, nastrój i jakość życia, i jest bezpieczny. Nie wykazano natomiast, żeby podnosił CD4 albo obniżał wiremię.","Cochrane","","VERIFIED","",""
"hiv-0210","odbudowa","suplementy a odbudowa","Przeglądy Cochrane nie wykazały istotnego wpływu suplementacji mikroelementów na CD4 ani przeżycie u osób prawidłowo odżywionych. Suplementacja ma uzasadnienie przy niedoborze potwierdzonym badaniem, a nie profilaktycznie.","Cochrane","2017","VERIFIED","",""
"hiv-0211","odbudowa","rokowanie a moment rozpoczęcia leczenia","Osoby zaczynające leczenie z wysokim CD4 mają dziś oczekiwaną długość życia zbliżoną do populacji ogólnej. Przy bardzo niskim CD4 na starcie różnica jest istotna, ale dane dla osób rozpoczynających leczenie po 2015 roku są wyraźnie lepsze niż wcześniejsze.","Lancet","2023","VERIFIED","",""
"hiv-0051","prep","czym jest PrEP","PrEP to leki brane przez osobę bez HIV po to, żeby zapobiec zakażeniu.","Centers for Disease Control and Prevention (US)","2025","OFFICIAL","",""
"hiv-0052","prep","schematy","PrEP można brać codziennie albo w schemacie „na żądanie"" 2-1-1: dwie tabletki przed seksem, po jednej przez dwa kolejne dni.","UCSF","2025","VERIFIED","",""
"hiv-0053","prep","schemat 2-1-1","Schemat 2-1-1 zbadano w IPERGAY: 86 procent skuteczności, a w przedłużeniu badania 97 procent.","Molina J-M. i in., NEJM 2015","2015","VERIFIED","",""
"hiv-0054","prep","schemat 2-1-1","Schemat 2-1-1 zaleca się mężczyznom mającym seks z mężczyznami. Nie jest zalecany przy ekspozycji waginalnej.","UCSF","2025","VERIFIED","",""
"hiv-0055","prep","lenakapawir","Lenakapawir w zastrzyku co pół roku został zatwierdzony przez amerykański FDA 18 czerwca 2025 roku jako PrEP.","Gilead Sciences / FDA","2025-06-18","OFFICIAL","",""
"hiv-0056","prep","lenakapawir","W badaniu PURPOSE 1, wśród kobiet, lenakapawir dał zero zakażeń.","New England Journal of Medicine","2024","VERIFIED","",""
"hiv-0057","prep","lenakapawir","W badaniu PURPOSE 2 lenakapawir zmniejszył liczbę zakażeń o 96 procent.","New England Journal of Medicine","2024","VERIFIED","",""
"hiv-0058","prep","lenakapawir","WHO zaleciło lenakapawir jako PrEP 14 lipca 2025 roku.","World Health Organization","2025","OFFICIAL","",""
"hiv-0059","prep","badania kontrolne","Przed rozpoczęciem PrEP i w trakcie jego stosowania robi się test HIV, badania nerek i badania w kierunku innych chorób przenoszonych drogą płciową.","Centers for Disease Control and Prevention (US)","2025","OFFICIAL","",""
"hiv-0060","prep","czego PrEP nie robi","PrEP nie chroni przed innymi chorobami przenoszonymi drogą płciową ani przed ciążą.","Centers for Disease Control and Prevention (US)","2025","OFFICIAL","",""
"hiv-0223","pierwsze-dni","diagnoza to nie wyrok","Dziś HIV jest chorobą przewlekłą, leczoną codzienną terapią. Przy leczeniu, zwłaszcza rozpoczętym przy zachowanej odporności, oczekiwana długość życia jest zbliżona do długości życia osób bez HIV.","Lancet","2023","VERIFIED","",""
"hiv-0224","pierwsze-dni","tempo — co jest pilne, a co nie","Leczenie antyretrowirusowe zaczyna się szybko po diagnozie, ale nie w trybie nagłym jak PEP. Jest czas na badania wyjściowe i rozmowę z lekarzem — pilne jest umówienie się do poradni, nie podejmowanie wszystkich decyzji naraz.","European AIDS Clinical Society","13.0 (2025)","OFFICIAL","",""
"hiv-0225","pierwsze-dni","pierwsze badania","Na starcie opieki lekarz zleca zwykle liczbę CD4, wiremię, badania nerek i wątroby oraz badania w kierunku koinfekcji: HBV, HCV, kiły i gruźlicy. To punkt odniesienia dla dalszego leczenia.","Polskie Towarzystwo Naukowe AIDS","2025","OFFICIAL","",""
"hiv-0226","pierwsze-dni","głowa w pierwszych tygodniach","Szok, lęk i przytłoczenie w pierwszych tygodniach po diagnozie to najczęstszy przebieg, a nie wyjątek. Pierwszy rok bywa najtrudniejszy psychicznie — dlatego warto od początku mieć z kim o tym rozmawiać: lekarza, psychologa albo kogoś, kto to przeszedł.","BMJ","2021","VERIFIED","",""
"hiv-0020","leczenie","czym jest ART","Leczenie HIV nazywa się terapią antyretrowirusową i przyjmuje się je codziennie, przez całe życie.","Polskie Towarzystwo Naukowe AIDS","2025","OFFICIAL","",""
"hiv-0021","leczenie","klasy leków","Główne klasy leków to NRTI, NNRTI, inhibitory proteazy, inhibitory integrazy, inhibitory wejścia oraz inhibitory kapsydu (np. lenakapawir).","Polskie Towarzystwo Naukowe AIDS","2025","OFFICIAL","",""
"hiv-0022","leczenie","pierwszy rzut","Współczesne leczenie pierwszego rzutu opiera się najczęściej na leku z grupy inhibitorów integrazy, na przykład dolutegrawirze lub biktegrawirze.","European AIDS Clinical Society","13.0 (2025)","OFFICIAL","",""
"hiv-0023","leczenie","terapia iniekcyjna","Istnieje terapia w zastrzykach — kabotegrawir z rylpiwiryną — podawana co jeden lub dwa miesiące zamiast codziennych tabletek.","University of Washington / HRSA","2025","VERIFIED","",""
"hiv-0024","leczenie","terapia iniekcyjna","Terapia w zastrzykach jest tylko dla osób, które już mają niewykrywalną wiremię i nie miały niepowodzeń leczenia. Nie zaczyna się od niej leczenia.","European AIDS Clinical Society","13.0 (2025)","OFFICIAL","",""
"hiv-0025","leczenie","adherencja","Regularne przyjmowanie leków jest kluczowe. Pomijane dawki mogą prowadzić do lekooporności.","Polskie Towarzystwo Naukowe AIDS","2025","OFFICIAL","",""
"hiv-0026","leczenie","rokowanie","Dobrze leczony HIV pozwala żyć długo i w zdrowiu, przez czas zbliżony do długości życia osób bez HIV.","European AIDS Clinical Society","13.0 (2025)","OFFICIAL","",""
"hiv-0036","ciaza","ciąża","Skuteczne leczenie w ciąży niemal całkowicie zapobiega przekazaniu HIV dziecku.","Polskie Towarzystwo Naukowe AIDS","2025","OFFICIAL","",""
"hiv-0037","ciaza","karmienie","Karmienie mlekiem modyfikowanym albo pasteryzowanym mlekiem z banku daje zerowe ryzyko zakażenia dziecka.","NIH / DHHS (US)","2024","OFFICIAL","",""
"hiv-0038","ciaza","karmienie","Od 2023 i 2024 roku wytyczne wspierają wspólne podejmowanie decyzji o karmieniu piersią zamiast bezwzględnego zakazu.","The Well Project","2024","VERIFIED","",""
"hiv-0039","ciaza","karmienie","Osoba z HIV, która chce karmić piersią i ma utrwaloną supresję wirusa, powinna być wspierana, a nie straszona.","NIH / DHHS (US)","2024","OFFICIAL","",""
"hiv-0001","transmisja","drogi przenoszenia","HIV przenosi się trzema drogami: przez seks bez zabezpieczenia, przez krew i z matki na dziecko (ciąża, poród, karmienie piersią).","Polskie Towarzystwo Naukowe AIDS","2025","OFFICIAL","",""
"hiv-0002","transmisja","czym się nie zakazisz","HIV nie przenosi się przez ślinę, pot, łzy, mocz ani kał, jeśli nie ma w nich krwi.","Polskie Towarzystwo Naukowe AIDS","2025","OFFICIAL","",""
"hiv-0003","transmisja","czym się nie zakazisz","Nie zakazisz się HIV przez przytulenie, podanie ręki, wspólne naczynia, toaletę czy basen.","Krajowe Centrum ds. AIDS","2026","OFFICIAL","",""
"hiv-0004","transmisja","płyny zakaźne","Płyny, które mogą przenosić HIV, to m.in. krew, nasienie, wydzielina pochwy i mleko kobiece.","Polskie Towarzystwo Naukowe AIDS","2025","OFFICIAL","",""
"hiv-0005","transmisja","mity","Komary i inne owady nie przenoszą HIV.","Centers for Disease Control and Prevention (US)","2025","OFFICIAL","",""
"hiv-0006","transmisja","ryzyko na akt","Na 10 000 kontaktów analnych biernych z osobą zakażoną, nieleczoną i bez zabezpieczeń, do zakażenia dochodzi około 138 razy.","Patel P. i in., AIDS 2014;28(10):1509–1519","2014","VERIFIED","",""
"hiv-0007","transmisja","ryzyko na akt","Seks analny czynny to około 11 zakażeń na 10 000 kontaktów.","Patel P. i in., AIDS 2014;28(10):1509–1519","2014","VERIFIED","",""
"hiv-0008","transmisja","ryzyko na akt","Seks waginalny to około 8 zakażeń na 10 000 kontaktów dla strony przyjmującej i około 4 dla strony wprowadzającej.","Patel P. i in., AIDS 2014;28(10):1509–1519","2014","VERIFIED","",""
"hiv-0009","transmisja","ryzyko na akt","Wspólna igła do narkotyków to około 63 zakażenia na 10 000 użyć.","Patel P. i in., AIDS 2014;28(10):1509–1519","2014","VERIFIED","",""
"hiv-0010","transmisja","ryzyko na akt","Przetoczenie zakażonej krwi ma bardzo wysokie ryzyko — około 9250 na 10 000.","Patel P. i in., AIDS 2014;28(10):1509–1519","2014","VERIFIED","",""
"hiv-0011","transmisja","ryzyko na akt","Seks oralny uznaje się za niskie ryzyko, a plucie czy ugryzienie za znikome.","Patel P. i in., AIDS 2014;28(10):1509–1519","2014","VERIFIED","",""
"hiv-0012","transmisja","co podnosi ryzyko","Ryzyko zakażenia rośnie, gdy druga osoba ma świeże zakażenie, wysoką wiremię albo inną chorobę przenoszoną drogą płciową.","Patel P. i in., AIDS 2014;28(10):1509–1519","2014","VERIFIED","",""
"hiv-0219","psyche","pierwszy rok","Pierwszy rok po diagnozie jest dla większości osób najtrudniejszy i to najczęstszy przebieg, a nie wyjątek. Około jednej trzeciej osób żyjących z HIV doświadcza depresji, z nasileniem w pierwszych miesiącach po wyniku.","BMJ","2021","VERIFIED","",""
"hiv-0220","psyche","samostygmatyzacja","Najsilniej szkodzi nie sam wirus, tylko przejęcie cudzych sądów jako własnych. W badaniach samostygmatyzacja jest jednym z najmocniejszych czynników związanych z depresją — i jednym z niewielu, które da się zmienić.","PLOS","","VERIFIED","",""
"hiv-0221","psyche","co ma dowody","Dowody mają: kontakt z osobą, która przeszła to samo, wsparcie rówieśnicze, terapia poznawczo-behawioralna oraz leczenie depresji. W badaniu z Los Angeles osoby z przydzielonym towarzyszem z doświadczeniem utrzymały skuteczność leczenia po roku na poziomie 49 procent wobec 30 procent bez takiego wsparcia.","JAMA","2018","VERIFIED","",""
"hiv-0222","psyche","granice pozytywnego myślenia","W badaniu z grupą kontrolną osiem tygodni treningu uważności poprawiło nastrój, poziom stresu i samopoczucie, ale nie zmieniło ani CD4, ani markerów zapalnych. Depresja szkodzi zdrowiu przede wszystkim przez to, że utrudnia regularne branie leków — i dlatego warto ją leczyć.","Elsevier","2018","VERIFIED","",""
"hiv-0013","przebieg","faza ostra","Pierwsze objawy mogą przypominać grypę: gorączka, ból gardła, wysypka, powiększone węzły chłonne — zwykle 2 do 4 tygodni po zakażeniu.","Polskie Towarzystwo Naukowe AIDS","2025","OFFICIAL","",""
"hiv-0014","przebieg","faza bezobjawowa","Po fazie ostrej przychodzi faza bezobjawowa, która bez leczenia może trwać wiele lat.","Polskie Towarzystwo Naukowe AIDS","2025","OFFICIAL","",""
"hiv-0015","przebieg","AIDS","AIDS rozpoznaje się u osoby z HIV wtedy, gdy pojawia się jedna z tak zwanych chorób wskaźnikowych.","Polskie Towarzystwo Naukowe AIDS","2025","OFFICIAL","",""
"hiv-0016","przebieg","CD4","Liczba CD4 pokazuje, jak silny jest układ odpornościowy. Wynik poniżej 200 oznacza duże ryzyko zakażeń oportunistycznych.","Polskie Towarzystwo Naukowe AIDS","2025","OFFICIAL","",""
"hiv-0017","przebieg","wiremia","Wiremia to liczba kopii wirusa we krwi. Celem leczenia jest, żeby była niewykrywalna.","Polskie Towarzystwo Naukowe AIDS","2025","OFFICIAL","",""
"hiv-0018","przebieg","niewykrywalny","„Niewykrywalny"" znaczy „poniżej progu testu"", zwykle mniej niż 50 kopii na mililitr — a nie „bez wirusa"".","European AIDS Clinical Society","13.0 (2025)","OFFICIAL","",""
"hiv-0019","przebieg","późne rozpoznania","W Polsce w grudniu 2024 roku średnia liczba CD4 przy rozpoznaniu AIDS wynosiła 71 — to bardzo późne rozpoznania.","NIZP-PZH","2024","OFFICIAL","",""
"hiv-0227","dlugoterminowo","rokowanie zaciera się z czasem","Różnica w długości życia jest największa przy bardzo niskim CD4 na starcie, ale częściowo zaciera się z każdym rokiem skutecznego leczenia. Dane dla osób rozpoczynających leczenie po 2015 roku są wyraźnie lepsze niż wcześniejsze.","Lancet","2023","VERIFIED","",""
